"ID","ReleaseDate","Grade","Edition","Name","OfficialJPY","TaxExJPY","OfficialKRW","AppliedMultiplier","DiscrepancyCheck"
"610","2013-03-27","MG","?쒖젙/?대읇G (P-Bandai)","MG 1/100 SINANJU (ANIME COLOR Ver.)","8690","7900","112970","14.3","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"611","2013-08-10","MG","?쒖젙/?대읇G (P-Bandai)","MG 1/100 RX-78-2 GUNDAM Ver.3.0","5390","4900","70070","14.3","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"612","2013-06-21","MG","?쒖젙/?대읇G (P-Bandai)","MG 1/100 GUNDAM AGE-2 DOUBLE BULLET","4620","4200","60060","14.3","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"613","2014-01-25","MG","?쒖젙/?대읇G (P-Bandai)","MG 1/100 BUILD STRIKE GUNDAM FULL PACKAGE","4620","4200","60060","14.3","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"615","2014-03-08","MG","?쒖젙/?대읇G (P-Bandai)","MG 1/100 BUILD GUNDAM Mk-Ⅱ","5500","5000","71500","14.3","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"616","2014-03-15","MG","?쒖젙/?대읇G (P-Bandai)","MG 1/100 UNIVERSE BOOSTER","3080","2800","40040","14.3","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"617","2013-09-28","MG","?쒖젙/?대읇G (P-Bandai)","MG 1/100 STRIKE ROUGE (OOTORI UNIT) Ver.RM","4620","4200","60060","14.3","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"618","2014-02-15","MG","?쒖젙/?대읇G (P-Bandai)","MG 1/100 UNICORN GUNDAM 03 PHENEX","13200","12000","171600","14.3","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"619","2014-01-11","MG","?쒖젙/?대읇G (P-Bandai)","MG 1/100 GX-9900 GUNDAM X","4950","4500","64350","14.3","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"62","2018-01-20","HG","?쒖젙/?대읇G (P-Bandai)","HGBF 1/144 STRIKER GN-X","2200","2000","28600","14.3","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"620","2014-06-14","MG","?쒖젙/?대읇G (P-Bandai)","MG 1/100 TURN X","7040","6400","91520","14.3","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
